TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Mischief,2025,4,13,17,28,26XX KEITH DR,Mount Pleasant,494221.7811,5456522.8415
Mischief,2025,12,15,11,0,26XX MAPLE ST,Kitsilano,489048.0279,5456632.0841
Mischief,2025,2,11,17,0,26XX NOOTKA ST,Renfrew-Collingwood,497084.6604,5456460.3584
Mischief,2025,2,13,16,0,26XX PRINCE EDWARD ST,Mount Pleasant,493012.484,5456531.1911
Mischief,2025,9,7,20,0,26XX SASAMAT ST,West Point Grey,484789.5128,5456785.6363
Mischief,2025,9,10,23,0,26XX ST CATHERINES ST,Mount Pleasant,493799.8632,5456478.4255
Mischief,2025,4,1,9,0,17XX W 75TH AVE,Marpole,489284.5487,5450407.8364
Mischief,2025,6,17,14,20,17XX W 8TH AVE,Fairview,489460.2234,5456887.4528
Mischief,2025,7,13,20,7,17XX W BROADWAY AVE,Fairview,489466.6283,5456783.7541
Mischief,2025,1,2,22,0,17XX W GEORGIA ST,West End,490386.6841,5459881.5988
Mischief,2025,6,5,22,0,17XX W KING EDWARD AVE,Shaughnessy,489470.9527,5455189.9423
Mischief,2025,7,1,23,0,17XX WHYTE AVE,Kitsilano,489544.817,5458047.2705
Mischief,2025,11,24,15,30,17XX WILLIAM ST,Grandview-Woodland,495010.3317,5457916.3579
Mischief,2025,8,19,3,41,17XX WILLIAM ST,Grandview-Woodland,495026.9619,5457916.1199
Mischief,2025,1,9,22,30,18XX ALBERNI ST,West End,490126.3945,5460038.6035
Mischief,2025,12,17,14,52,18XX ANDERSON ST,Fairview,489963.7846,5457391.2311
Mischief,2025,8,21,19,0,18XX BARCLAY ST,West End,489927.1964,5459787.304
Mischief,2025,1,13,21,51,18XX BARCLAY ST,West End,489942.5568,5459759.3892
Mischief,2025,4,30,4,2,18XX BARCLAY ST,West End,489961.5174,5459740.7567
Mischief,2025,2,21,17,0,18XX BARCLAY ST,West End,489991.1994,5459711.5889
Mischief,2025,9,4,9,14,18XX BOUNDARY RD,Hastings-Sunrise,498272.6628,5457221.6181
Mischief,2025,9,27,9,37,18XX BOUNDARY RD,Hastings-Sunrise,498272.6628,5457221.6181
Mischief,2025,7,22,5,28,18XX CLARK DR,Strathcona,494366.004,5457252.8917
Mischief,2025,1,19,20,30,18XX COMMERCIAL DR,Grandview-Woodland,494926.4389,5457254.3173
Mischief,2025,11,18,3,40,18XX COMMERCIAL DR,Grandview-Woodland,494926.4389,5457254.3173
Mischief,2025,2,21,14,13,18XX COMMERCIAL DR,Grandview-Woodland,494935.7523,5457290.5593
Mischief,2025,9,11,8,0,18XX COMOX ST,West End,489792.8426,5459611.2801
Mischief,2025,9,12,4,0,18XX COMOX ST,West End,489792.8426,5459611.2801
Mischief,2025,9,9,12,0,18XX COMOX ST,West End,489832.4265,5459558.8357
Mischief,2025,9,9,19,30,18XX COMOX ST,West End,489832.4265,5459558.8357
Mischief,2025,2,16,11,30,18XX CORNWALL AVE,Kitsilano,489254.6519,5457761.2459
Mischief,2025,5,3,0,0,18XX E 10TH AVE,Kensington-Cedar Cottage,495119.4326,5456511.1827
Mischief,2025,5,4,19,0,18XX E 10TH AVE,Kensington-Cedar Cottage,495119.4326,5456511.1827
Mischief,2025,6,5,18,0,18XX E 11TH AVE,Kensington-Cedar Cottage,495067.394,5456415.5378
Mischief,2025,6,20,8,0,18XX E 11TH AVE,Kensington-Cedar Cottage,495090.5754,5456415.4479
Mischief,2025,7,11,20,0,18XX E 14TH AVE,Kensington-Cedar Cottage,495058.3309,5456105.6348
Mischief,2025,4,27,12,0,18XX E 16TH AVE,Kensington-Cedar Cottage,495063.4909,5455944.1354
Mischief,2025,3,29,18,20,18XX E 2ND AVE,Grandview-Woodland,495109.9327,5457322.0666
Mischief,2025,11,3,14,10,18XX E 37TH AVE,Kensington-Cedar Cottage,495049.9483,5453768.9248
Mischief,2025,3,21,15,0,18XX E 4TH AVE,Grandview-Woodland,495046.8823,5457153.0354
Mischief,2025,2,15,17,0,18XX E 53RD AVE,Victoria-Fraserview,494967.3739,5452115.0448
Mischief,2025,2,14,13,50,18XX E 55TH AVE,Victoria-Fraserview,494964.216,5451946.7488
Mischief,2025,8,6,13,51,18XX E 55TH AVE,Victoria-Fraserview,495057.7594,5451947.4029
Mischief,2025,12,5,20,47,18XX E 6TH AVE,Grandview-Woodland,495068.8267,5456919.9538
Mischief,2025,11,17,21,0,18XX E 8TH AVE,Grandview-Woodland,495163.6594,5456727.0077
Mischief,2025,9,13,13,0,18XX E HASTINGS ST,Grandview-Woodland,495043.0595,5458718.2326
Mischief,2025,9,17,11,0,18XX E HASTINGS ST,Grandview-Woodland,495043.0595,5458718.2326
Mischief,2025,6,12,15,0,18XX E HASTINGS ST,Grandview-Woodland,495050.4793,5458718.1087
Mischief,2025,4,2,21,8,18XX E HASTINGS ST,Grandview-Woodland,495217.2481,5458715.2557
Mischief,2025,12,19,12,0,18XX E PENDER ST,Grandview-Woodland,495074.2654,5458609.127
Mischief,2025,4,28,4,14,18XX E PENDER ST,Grandview-Woodland,495081.6493,5458618.186
Mischief,2025,5,30,21,41,18XX E PENDER ST,Grandview-Woodland,495081.6493,5458618.186
Mischief,2025,5,5,17,57,18XX E PENDER ST,Grandview-Woodland,495132.5939,5458617.5948
Mischief,2025,9,4,8,0,18XX FRANKLIN ST,Grandview-Woodland,495044.1825,5458820.7217
Mischief,2025,9,28,10,0,18XX HOSMER AVE,Shaughnessy,489410.0188,5455660.1572
Mischief,2025,6,14,23,0,18XX ISLAND AVE,Victoria-Fraserview,494932.9556,5450748.8872
Mischief,2025,12,16,3,55,18XX KINGSWAY AVE,Kensington-Cedar Cottage,495146.8717,5454783.4931
Mischief,2025,4,10,18,26,18XX NELSON ST,West End,489911.2093,5459637.1735
Mischief,2025,1,3,15,0,18XX NOOTKA ST,Hastings-Sunrise,496986.2214,5457300.7974
Mischief,2025,2,18,18,3,18XX POWELL ST,Grandview-Woodland,495150.4563,5459088.5332
Mischief,2025,2,4,2,48,18XX RENFREW ST,Hastings-Sunrise,496785.8779,5457271.9425
Mischief,2025,1,1,21,5,18XX RENFREW ST,Hastings-Sunrise,496786.5009,5457300.3292
Mischief,2025,4,16,20,0,18XX ROBSON ST,West End,490069.9569,5459951.9127
Mischief,2025,1,4,13,0,18XX ROBSON ST,West End,490077.4472,5459944.5405
Mischief,2025,5,10,3,25,18XX ROBSON ST,West End,490140.0456,5459870.0851
Mischief,2025,10,20,21,48,18XX SEMLIN DR,Grandview-Woodland,495360.4358,5457318.2163
Mischief,2025,11,5,10,0,18XX VENABLES ST,Grandview-Woodland,495093.9368,5458208.1762
Mischief,2025,4,2,15,30,18XX VICTORIA DVRS,Kensington-Cedar Cottage,495058.9877,5455720.9855
Mischief,2025,12,25,2,16,18XX W 10TH AVE,Kitsilano,489297.7476,5456682.3785
Mischief,2025,2,18,8,56,18XX W 11TH AVE,Kitsilano,489304.8056,5456579.6373
Mischief,2025,12,12,12,0,18XX W 17TH AVE,Shaughnessy,489306.6026,5455947.5713
Mischief,2025,5,31,16,10,18XX W 2ND AVE,Kitsilano,489276.8136,5457456.6019
Mischief,2025,8,14,17,0,18XX W 2ND AVE,Kitsilano,489405.644,5457452.7359
Mischief,2025,10,31,19,36,18XX W 3RD AVE,Kitsilano,489261.9451,5457359.8885
Mischief,2025,1,18,4,0,18XX W 4TH AVE,Kitsilano,489376.9636,5457264.9689
Mischief,2025,5,18,3,45,18XX W 4TH AVE,Kitsilano,489377.4017,5457255.807
Mischief,2025,8,5,21,0,18XX W 61ST AVE,Kerrisdale,489175.6349,5451481.1504
Mischief,2025,6,16,7,54,18XX W 6TH AVE,Kitsilano,489282.6335,5457068.8767
Mischief,2025,11,24,8,5,20XX COMOX ST,West End,489622.8793,5459766.0909
Mischief,2025,4,24,4,31,20XX DUNDAS ST,Grandview-Woodland,495401.2735,5459114.3893
Mischief,2025,6,11,1,55,20XX DUNDAS ST,Grandview-Woodland,495406.7367,5459123.493
Mischief,2025,2,28,2,15,20XX E 23RD AVE,Kensington-Cedar Cottage,495267.0813,5455177.0148
Mischief,2025,6,14,22,0,20XX E 28TH AVE,Kensington-Cedar Cottage,495316.542,5454778.869
Mischief,2025,1,15,12,1,20XX E 28TH AVE,Kensington-Cedar Cottage,495387.9696,5454787.7491
Mischief,2025,1,22,1,40,20XX E 37TH AVE,Kensington-Cedar Cottage,495274.817,5453799.48
Mischief,2025,4,7,15,0,20XX E 40TH AVE,Kensington-Cedar Cottage,495235.4319,5453457.6793
Mischief,2025,1,24,17,0,20XX E 49TH AVE,Victoria-Fraserview,495213.0565,5452484.7774
Mischief,2025,2,19,20,30,20XX E 8TH AVE,Grandview-Woodland,495352.738,5456715.1657
Mischief,2025,2,20,22,0,20XX E 8TH AVE,Grandview-Woodland,495352.738,5456715.1657
Mischief,2025,6,12,22,0,20XX E 8TH AVE,Grandview-Woodland,495352.738,5456715.1657
Mischief,2025,5,23,11,27,20XX E BROADWAY AVE,Grandview-Woodland,495452.8882,5456617.5669
Mischief,2025,11,11,4,15,20XX E HASTINGS ST,Grandview-Woodland,495420.6143,5458721.0728
Mischief,2025,7,12,18,0,20XX FERNDALE ST,Grandview-Woodland,495377.3511,5458542.869
Mischief,2025,9,17,1,42,20XX FRANKLIN ST,Grandview-Woodland,495427.7733,5458815.4018
Mischief,2025,6,2,11,45,20XX KINGSWAY AVE,Kensington-Cedar Cottage,495264.2071,5454710.0012
Mischief,2025,8,7,0,0,20XX KINGSWAY AVE,Kensington-Cedar Cottage,495331.5986,5454651.8463
Mischief,2025,10,12,10,48,20XX KINGSWAY AVE,Kensington-Cedar Cottage,495333.8195,5454661.4462
Mischief,2025,12,7,1,59,20XX KINGSWAY AVE,Kensington-Cedar Cottage,495334.8648,5454660.7167
Mischief,2025,4,16,20,0,20XX KITCHENER ST,Grandview-Woodland,495368.6273,5457700.6745
Mischief,2025,11,4,20,19,20XX MAIN ST,Mount Pleasant,492672.7511,5457110.0243
Mischief,2025,9,7,1,30,20XX NAPIER ST,Grandview-Woodland,495405.5281,5458011.8304
Mischief,2025,2,16,20,20,20XX NELSON ST,West End,489640.7841,5459917.0737
Mischief,2025,9,14,12,0,20XX PANDORA ST,Grandview-Woodland,495424.5857,5458926.8324
Mischief,2025,6,2,22,0,20XX SCARBORO AVE,Victoria-Fraserview,495308.8651,5451207.6964
Mischief,2025,11,24,20,0,20XX STAINSBURY AVE [IFO 2095 STAINSBURY,Kensington-Cedar Cottage,495266.2079,5455402.3628
Mischief,2025,8,9,0,0,20XX W 12TH AVE,Kitsilano,488998.6901,5456478.0585
Mischief,2025,9,27,20,0,20XX W 15TH AVE,Kitsilano,488951.0047,5456164.954
Mischief,2025,7,3,0,0,20XX W 1ST AVE,Kitsilano,489030.0663,5457561.0995
Mischief,2025,4,29,12,0,20XX W 2ND AVE,Kitsilano,489016.2571,5457472.6639
Mischief,2025,9,25,8,0,20XX W 2ND AVE,Kitsilano,489053.6963,5457462.5458
Mischief,2025,3,4,7,6,20XX W 2ND AVE,Kitsilano,489057.1151,5457462.4571
Mischief,2025,9,22,19,0,20XX W 36TH AVE,Shaughnessy,488844.1787,5454057.8705
Mischief,2025,7,5,0,0,20XX W 37TH AVE,Shaughnessy,488780.7782,5453959.7749
Mischief,2025,8,9,0,15,20XX W 41ST AVE,Shaughnessy,488735.5254,5453548.9609
Mischief,2025,11,3,21,30,20XX W 41ST AVE,Shaughnessy,488735.5254,5453548.9609
Mischief,2025,7,20,23,20,20XX W 41ST AVE,Kerrisdale,488805.5221,5453537.9391
Mischief,2025,3,11,18,22,20XX W 41ST AVE,Kerrisdale,488845.5014,5453536.8698
Mischief,2025,7,17,17,30,20XX W 41ST AVE,Shaughnessy,488862.0467,5453545.5728
Mischief,2025,12,20,15,43,20XX W 45TH AVE,Kerrisdale,488723.2956,5453126.1602
Mischief,2025,5,9,0,0,20XX W 46TH AVE,Kerrisdale,488716.933,5453017.0802
Mischief,2025,12,24,23,0,20XX W 4TH AVE,Kitsilano,488903.9745,5457267.9723
Mischief,2025,10,31,0,0,20XX W 4TH AVE,Kitsilano,489037.3471,5457264.7128
Mischief,2025,8,18,0,0,20XX W 6TH AVE,Kitsilano,489019.6713,5457075.3369
Mischief,2025,3,8,18,57,20XX W 7TH AVE,Kitsilano,488953.2772,5456983.9773
Mischief,2025,12,6,20,30,20XX W 7TH AVE [IFO 2033],Kitsilano,489048.4765,5456980.6083
Mischief,2025,4,14,15,42,20XX W BROADWAY AVE,Kitsilano,489000.1388,5456796.6183
Mischief,2025,1,19,14,0,20XX WALL ST,Grandview-Woodland,495381.6025,5459133.4496
Mischief,2025,8,31,2,39,20XX WALL ST,Grandview-Woodland,495505.9323,5459267.2854
Mischief,2025,6,25,18,45,20XX WHYTE AVE,Kitsilano,489013.6758,5458076.4626
Mischief,2025,9,28,19,30,20XX WOODLAND DR,Grandview-Woodland,494643.2071,5457075.2969
Mischief,2025,11,9,8,59,20XX WOODLAND DR,Grandview-Woodland,494652.9997,5457123.3193
Mischief,2025,8,4,10,45,20XX YUKON ST,Mount Pleasant,491804.9396,5457194.6399
Mischief,2025,4,10,7,31,21XX ASH ST,Fairview,491463.2049,5457051.817
Mischief,2025,9,13,21,57,21XX ASH ST,Fairview,491463.2049,5457051.817
Mischief,2025,1,5,14,14,21XX ASH ST,Fairview,491463.3029,5457054.97
Mischief,2025,9,12,19,0,21XX ASH ST,Fairview,491463.3029,5457054.97
Mischief,2025,4,11,8,30,21XX CAMBIE ST,Mount Pleasant,491665.7131,5457085.3862
Mischief,2025,4,17,10,29,21XX CAMBIE ST,Mount Pleasant,491665.7131,5457085.3862
Mischief,2025,5,13,16,31,21XX CASSIAR ST,Hastings-Sunrise,497748.8874,5456963.188
Mischief,2025,12,4,14,20,21XX COMMERCIAL DR,Grandview-Woodland,494931.2357,5456957.6901
Mischief,2025,8,8,0,0,21XX CORNWALL AVE,Kitsilano,488751.3782,5457764.8381
Mischief,2025,5,3,15,7,21XX CORNWALL AVE,Kitsilano,488777.92,5457764.175
Mischief,2025,3,10,22,0,21XX E 13TH AVE,Kensington-Cedar Cottage,495523.1241,5456201.6045
Mischief,2025,5,19,18,0,21XX E 13TH AVE,Kensington-Cedar Cottage,495523.1241,5456201.6045
Mischief,2025,1,21,4,6,21XX E 13TH AVE,Kensington-Cedar Cottage,495603.9186,5456200.1338
Mischief,2025,5,28,10,25,21XX E 19TH AVE,Kensington-Cedar Cottage,495495.9027,5455585.1674
Mischief,2025,1,1,16,0,21XX E 29TH AVE,Kensington-Cedar Cottage,495494.0017,5454679.3046
Mischief,2025,4,3,14,59,21XX E 29TH AVE,Kensington-Cedar Cottage,495494.0017,5454679.3046
Mischief,2025,10,11,20,0,21XX E 46TH AVE,Victoria-Fraserview,495390.6502,5452859.1613
Mischief,2025,12,8,14,42,21XX E 5TH AVE,Grandview-Woodland,495500.7454,5457015.2035
Mischief,2025,8,13,18,0,27XX E 24TH AVE [IFO 2701 E 24TH AVE],Renfrew-Collingwood,496388.9208,5455111.2266
Mischief,2025,8,12,11,24,27XX E 29TH AVE,Renfrew-Collingwood,496481.5603,5454645.339
Mischief,2025,12,11,13,31,27XX E 2ND AVE,Hastings-Sunrise,496406.8194,5457298.746
Mischief,2025,2,2,4,53,27XX E 44TH AVE,Victoria-Fraserview,496244.186,5453053.6262
Mischief,2025,8,17,3,22,27XX E 46TH AVE,Killarney,496445.1422,5452846.9771
Mischief,2025,8,14,19,0,27XX E 50TH AVE,Victoria-Fraserview,496211.8287,5452334.3645
Mischief,2025,11,3,12,59,27XX E 51ST AVE,Victoria-Fraserview,496259.7571,5452211.8702
Mischief,2025,5,7,22,0,27XX E 53RD AVE,Victoria-Fraserview,496268.4717,5452030.3758
Mischief,2025,4,13,17,0,27XX E BROADWAY AVE,Renfrew-Collingwood,496537.5189,5456578.6085
Mischief,2025,12,18,16,0,27XX E HASTINGS ST,Hastings-Sunrise,496421.493,5458708.2573
Mischief,2025,7,14,12,0,27XX E HASTINGS ST,Hastings-Sunrise,496492.2965,5458708.0182
Mischief,2025,10,21,7,29,24XX MAIN ST,Mount Pleasant,492644.763,5456752.0251
Mischief,2025,4,5,2,5,24XX MAIN ST,Mount Pleasant,492645.0613,5456769.5959
Mischief,2025,7,26,13,58,24XX MANITOBA ST,Mount Pleasant,492234.0763,5456783.1502
Mischief,2025,5,11,5,40,24XX NANAIMO ST,Grandview-Woodland,495878.0346,5456602.6054
Mischief,2025,2,11,8,0,24XX NANAIMO ST,Hastings-Sunrise,495888.4579,5456685.8686
Mischief,2025,8,21,0,0,24XX PANDORA ST,Hastings-Sunrise,495944.4384,5458921.9032
Mischief,2025,6,2,0,0,24XX QUEBEC ST,Mount Pleasant,492505.9693,5456756.5369
Mischief,2025,1,1,14,55,24XX RENFREW ST,Hastings-Sunrise,496770.3653,5456662.1645
Mischief,2025,6,16,22,0,24XX SPRUCE ST,Fairview,490610.2861,5456770.4662
Mischief,2025,6,30,12,0,24XX TRINITY ST,Hastings-Sunrise,496011.2899,5459658.9557
Mischief,2025,10,12,22,30,24XX TURNER ST,Hastings-Sunrise,495927.774,5458489.5474
Mischief,2025,12,25,18,1,24XX VINE ST,Kitsilano,488535.8922,5456889.2391
Mischief,2025,9,8,23,0,24XX W 2ND AVE [IFO 2455 W 2ND AVE],Kitsilano,488370.3332,5457480.3214
Mischief,2025,9,17,13,0,24XX W 4TH AVE,Kitsilano,488322.3129,5457285.4963
Mischief,2025,10,6,11,30,24XX W 4TH AVE,Kitsilano,488362.5585,5457284.5052
Mischief,2025,8,15,17,0,24XX W BROADWAY AVE,Kitsilano,488352.8619,5456805.3271
Mischief,2025,2,24,17,45,24XX WILLIAM ST,Hastings-Sunrise,495937.6061,5457938.4332
Mischief,2025,4,8,0,33,24XX WILLIAM ST,Hastings-Sunrise,495975.8852,5457928.8177
Mischief,2025,8,2,20,0,24XX YORK AVE,Kitsilano,488333.5914,5457687.6852
Mischief,2025,7,27,0,0,25XX BIRCH ST,Fairview,490265.7918,5456730.4187
Mischief,2025,7,27,23,0,25XX BIRCH ST,Fairview,490265.7918,5456730.4187
Mischief,2025,9,17,0,0,25XX BIRCH ST,Fairview,490265.7918,5456730.4187
Mischief,2025,4,30,1,13,25XX COMMERCIAL DR,Kensington-Cedar Cottage,494916.3852,5456557.9643
Mischief,2025,1,9,11,53,25XX COMMERCIAL DR,Kensington-Cedar Cottage,494916.9085,5456592.5699
Mischief,2025,6,29,16,8,25XX COMMERCIAL DR,Kensington-Cedar Cottage,494926.3964,5456615.1941
Mischief,2025,7,4,21,58,25XX COMMERCIAL DR,Kensington-Cedar Cottage,494926.3964,5456615.1941
Mischief,2025,8,25,2,21,25XX CYPRESS ST,Kitsilano,489225.6208,5456757.1687
Mischief,2025,5,20,15,35,25XX E 12TH AVE,Renfrew-Collingwood,496061.4729,5456261.4966
Mischief,2025,2,6,12,0,25XX E 23RD AVE,Renfrew-Collingwood,496035.7468,5455213.1114
Mischief,2025,11,18,23,0,25XX E 27TH AVE,Renfrew-Collingwood,496059.3788,5454829.1718
Mischief,2025,7,14,19,29,25XX E 37TH AVE,Renfrew-Collingwood,496008.3495,5453842.9557
Mischief,2025,7,20,14,0,25XX E 42ND AVE,Victoria-Fraserview,495981.2006,5453219.9267
Mischief,2025,5,11,14,0,25XX E 6TH AVE,Hastings-Sunrise,496024.9235,5456887.2217
Mischief,2025,4,13,14,30,25XX E 7TH AVE,Hastings-Sunrise,496056.5291,5456786.5176
Mischief,2025,4,7,0,30,25XX FRANKLIN ST,Hastings-Sunrise,496061.6408,5458818.6731
Mischief,2025,2,25,17,30,25XX FRASER ST,Mount Pleasant,493519.2973,5456633.578
Mischief,2025,7,24,0,0,25XX GRANVILLE ST,Fairview,489914.2992,5456760.4112
Mischief,2025,7,31,7,30,25XX GRANVILLE ST,Fairview,489914.3235,5456758.4693
Mischief,2025,11,15,16,20,25XX GRANVILLE ST,Fairview,489923.4178,5456762.4677
Mischief,2025,7,9,1,0,25XX KINGSWAY AVE,Renfrew-Collingwood,496072.3182,5454127.3813
Mischief,2025,12,3,2,10,25XX LAUREL ST,Fairview,490969.9425,5456739.5013
Mischief,2025,10,20,11,50,2XX GORE AVE,Strathcona,492890.2176,5458923.7151
Mischief,2025,1,5,20,0,2XX GRANVILLE ST,Central Business District,491833.5672,5459286.8751
Mischief,2025,1,31,18,40,2XX GRANVILLE ST,Central Business District,491833.5672,5459286.8751
Mischief,2025,2,8,17,35,2XX GRANVILLE ST,Central Business District,491833.5672,5459286.8751
Mischief,2025,2,9,8,40,2XX GRANVILLE ST,Central Business District,491833.5672,5459286.8751
Mischief,2025,2,26,17,30,2XX GRANVILLE ST,Central Business District,491833.5672,5459286.8751
Mischief,2025,2,28,20,30,2XX GRANVILLE ST,Central Business District,491833.5672,5459286.8751
Mischief,2025,3,2,13,48,2XX GRANVILLE ST,Central Business District,491833.5672,5459286.8751
Mischief,2025,3,19,11,7,2XX GRANVILLE ST,Central Business District,491833.5672,5459286.8751
Mischief,2025,3,21,9,50,2XX GRANVILLE ST,Central Business District,491833.5672,5459286.8751
Mischief,2025,3,29,1,0,2XX GRANVILLE ST,Central Business District,491833.5672,5459286.8751
Mischief,2025,4,6,0,1,2XX GRANVILLE ST,Central Business District,491833.5672,5459286.8751
Mischief,2025,4,8,9,0,2XX GRANVILLE ST,Central Business District,491833.5672,5459286.8751
Mischief,2025,4,9,20,0,2XX GRANVILLE ST,Central Business District,491833.5672,5459286.8751
Mischief,2025,4,19,10,0,2XX GRANVILLE ST,Central Business District,491833.5672,5459286.8751
Mischief,2025,4,25,23,6,2XX GRANVILLE ST,Central Business District,491833.5672,5459286.8751
Mischief,2025,5,13,18,14,2XX GRANVILLE ST,Central Business District,491833.5672,5459286.8751
Mischief,2025,5,17,8,0,2XX GRANVILLE ST,Central Business District,491833.5672,5459286.8751
Mischief,2025,5,21,10,50,2XX GRANVILLE ST,Central Business District,491833.5672,5459286.8751
Mischief,2025,6,8,10,0,2XX GRANVILLE ST,Central Business District,491833.5672,5459286.8751
Mischief,2025,6,14,2,4,2XX GRANVILLE ST,Central Business District,491833.5672,5459286.8751
Mischief,2025,6,21,17,2,2XX GRANVILLE ST,Central Business District,491833.5672,5459286.8751
Mischief,2025,7,2,2,0,2XX GRANVILLE ST,Central Business District,491833.5672,5459286.8751
Mischief,2025,7,20,8,0,2XX GRANVILLE ST,Central Business District,491833.5672,5459286.8751
Mischief,2025,7,21,8,0,2XX GRANVILLE ST,Central Business District,491833.5672,5459286.8751
Mischief,2025,8,19,10,52,2XX GRANVILLE ST,Central Business District,491833.5672,5459286.8751
Mischief,2025,9,6,3,20,2XX GRANVILLE ST,Central Business District,491833.5672,5459286.8751
Mischief,2025,10,17,21,0,2XX GRANVILLE ST,Central Business District,491833.5672,5459286.8751
Mischief,2025,11,3,0,0,2XX GRANVILLE ST,Central Business District,491833.5672,5459286.8751
Mischief,2025,11,8,0,0,2XX GRANVILLE ST,Central Business District,491833.5672,5459286.8751
Mischief,2025,11,11,17,40,2XX GRANVILLE ST,Central Business District,491833.5672,5459286.8751
Mischief,2025,11,28,12,0,2XX GRANVILLE ST,Central Business District,491833.5672,5459286.8751
Mischief,2025,11,30,10,30,2XX GRANVILLE ST,Central Business District,491833.5672,5459286.8751
Mischief,2025,12,6,0,47,2XX GRANVILLE ST,Central Business District,491833.5672,5459286.8751
Mischief,2025,12,12,15,12,2XX GRANVILLE ST,Central Business District,491833.5672,5459286.8751
Mischief,2025,5,10,8,0,2XX GRANVILLE ST,Central Business District,491834.3586,5459287.6725
Mischief,2025,5,28,0,35,2XX GRANVILLE ST,Central Business District,491834.3586,5459287.6725
Mischief,2025,12,23,1,37,2XX GRANVILLE ST,Central Business District,491834.3586,5459287.6725
Mischief,2025,2,6,13,2,2XX HEATLEY AVE,Strathcona,493498.1638,5458915.0182
Mischief,2025,1,17,9,45,2XX HOWE ST,Central Business District,491753.5672,5459360.9155
Mischief,2025,4,16,10,0,2XX HOWE ST,Central Business District,491753.5672,5459360.9155
Mischief,2025,5,16,20,0,2XX HOWE ST,Central Business District,491753.5672,5459360.9155
Mischief,2025,6,8,9,0,2XX HOWE ST,Central Business District,491753.5672,5459360.9155
Mischief,2025,6,18,17,50,2XX HOWE ST,Central Business District,491753.5672,5459360.9155
Mischief,2025,9,19,12,35,2XX HOWE ST,Central Business District,491753.5672,5459360.9155
Mischief,2025,2,17,17,22,2XX INDUSTRIAL AVE,Strathcona,492730.0331,5457519.1745
Mischief,2025,8,13,4,5,2XX JACKSON AVE,Strathcona,493215.6171,5458923.6049
Mischief,2025,9,10,13,20,2XX KEEFER ST,Strathcona,492758.71,5458525.1129
Mischief,2025,5,17,22,44,2XX KEEFER ST,Strathcona,492809.454,5458523.6195
Mischief,2025,2,20,17,30,2XX KEEFER ST,Strathcona,492834.624,5458532.0265
Mischief,2025,6,23,18,0,2XX KEEFER ST,Strathcona,492834.624,5458532.0265
Mischief,2025,5,7,20,44,2XX KINGSWAY AVE,Mount Pleasant,492830.8604,5456576.8412
Mischief,2025,9,18,11,50,2XX KINGSWAY AVE,Mount Pleasant,492831.2378,5456576.2594
Mischief,2025,10,30,8,29,2XX KINGSWAY AVE,Mount Pleasant,492831.2378,5456576.2594
Mischief,2025,2,17,17,23,2XX MAIN ST,Central Business District,492752.1179,5458893.423
Mischief,2025,8,5,9,24,2XX MAIN ST,Central Business District,492753.5609,5458921.088
Mischief,2025,8,20,12,42,2XX MAIN ST,Central Business District,492754.2344,5458933.9983
Mischief,2025,9,20,20,27,2XX MAIN ST,Central Business District,492754.3308,5458935.8423
Mischief,2025,9,2,13,6,2XX MAIN ST,Strathcona,492762.5001,5458916.923
Mischief,2025,9,16,8,56,2XX MAIN ST,Strathcona,492762.5001,5458916.923
Mischief,2025,7,16,19,35,2XX MAIN ST,Strathcona,492763.5584,5458937.2107
Mischief,2025,7,19,17,0,2XX MAIN ST,Strathcona,492763.5584,5458937.2107
Mischief,2025,1,26,16,20,2XX NANAIMO ST,Hastings-Sunrise,495892.9602,5458905.97
Mischief,2025,5,27,19,0,2XX POWELL ST,Strathcona,492840.0974,5458944.5822
Mischief,2025,2,13,14,25,2XX POWELL ST,Strathcona,492851.0043,5458944.2503
Mischief,2025,8,21,0,36,2XX POWELL ST,Strathcona,492851.0043,5458944.2503
Mischief,2025,12,24,14,45,2XX ROBSON ST,Central Business District,491585.2634,5458435.5331
Mischief,2025,2,28,14,40,2XX ROBSON ST,Central Business District,491589.0114,5458444.6546
Mischief,2025,6,11,2,13,2XX ROBSON ST,Central Business District,491631.2749,5458403.3728
Mischief,2025,7,12,20,0,2XX SE MARINE DR,Sunset,492557.0553,5450916.6477
Mischief,2025,4,4,22,0,2XX SE MARINE DR,Sunset,492622.5832,5450914.9497
Mischief,2025,5,15,21,30,23XX NANAIMO ST,Hastings-Sunrise,495888.1478,5456735.2131
Mischief,2025,3,20,19,0,23XX NAPIER ST,Grandview-Woodland,495791.8342,5457995.0559
Mischief,2025,5,15,20,59,23XX PANDORA ST,Grandview-Woodland,495799.6202,5458913.2162
Mischief,2025,7,23,22,0,23XX PRINCE ALBERT ST,Mount Pleasant,493664.2364,5456825.3708
Mischief,2025,12,29,1,0,23XX QUEBEC ST,Mount Pleasant,492508.6413,5456854.6713
Mischief,2025,10,5,12,0,23XX QUEBEC ST,Mount Pleasant,492518.4342,5456878.2955
Mischief,2025,11,9,14,24,23XX SCOTIA ST,Mount Pleasant,492809.1207,5456866.0802
Mischief,2025,1,19,18,30,23XX TRINITY ST,Grandview-Woodland,495822.8767,5459616.0343
Mischief,2025,5,18,10,52,23XX W 14TH AVE,Kitsilano,488481.4701,5456285.7088
